26.953	116.8	14.999
26.953	116.8	17.999
26.953	116.8	20.998
26.953	116.8	23.998
26.953	116.8	26.998
26.953	118.59	8.9993
26.953	118.59	11.999
26.953	118.59	14.999
26.953	118.59	17.999
26.953	118.59	20.998
26.953	118.59	23.998
26.953	118.59	26.998
26.953	118.59	29.998
26.953	120.39	8.9993
26.953	120.39	11.999
26.953	120.39	14.999
26.953	120.39	17.999
26.953	120.39	20.998
26.953	120.39	23.998
26.953	120.39	26.998
26.953	120.39	29.998
26.953	122.19	11.999
26.953	122.19	14.999
26.953	122.19	17.999
26.953	122.19	20.998
26.953	122.19	23.998
26.953	122.19	26.998
26.953	122.19	29.998
26.953	122.19	32.998
26.953	123.98	5.9996
26.953	123.98	8.9993
26.953	123.98	11.999
26.953	123.98	14.999
26.953	123.98	17.999
26.953	123.98	20.998
26.953	123.98	23.998
26.953	123.98	26.998
26.953	123.98	29.998
26.953	123.98	32.998
26.953	125.78	5.9996
26.953	125.78	8.9993
26.953	125.78	11.999
26.953	125.78	14.999
26.953	125.78	17.999
26.953	125.78	20.998
26.953	125.78	23.998
26.953	125.78	26.998
26.953	125.78	29.998
26.953	127.58	8.9993
26.953	127.58	11.999
26.953	127.58	14.999
26.953	127.58	17.999
26.953	127.58	20.998
26.953	127.58	23.998
26.953	127.58	26.998
26.953	127.58	29.998
26.953	129.37	14.999
26.953	129.37	17.999
26.953	129.37	20.998
26.953	129.37	26.998
26.953	131.17	11.999
26.953	131.17	14.999
26.953	131.17	17.999
26.953	132.97	11.999
26.953	132.97	14.999
26.953	132.97	17.999
26.953	134.77	11.999
26.953	134.77	14.999
28.75	97.031	17.999
28.75	97.031	20.998
28.75	97.031	23.998
28.75	97.031	26.998
28.75	98.828	17.999
28.75	98.828	20.998
28.75	98.828	23.998
28.75	98.828	26.998
28.75	98.828	29.998
28.75	100.62	14.999
28.75	100.62	17.999
28.75	100.62	20.998
28.75	100.62	23.998
28.75	100.62	26.998
28.75	100.62	29.998
28.75	102.42	14.999
28.75	102.42	17.999
28.75	102.42	20.998
28.75	102.42	23.998
28.75	102.42	26.998
28.75	102.42	29.998
28.75	102.42	32.998
28.75	104.22	14.999
28.75	104.22	17.999
28.75	104.22	20.998
28.75	104.22	23.998
28.75	104.22	26.998
28.75	106.02	17.999
